n	mean	stddev	min	max
1024	2.371e-06	1.13669e-07	2.271e-06	2.53e-06
2048	4.32167e-06	1.12645e-08	4.306e-06	4.332e-06
4096	8.33667e-06	5.09728e-08	8.292e-06	8.408e-06
8192	1.6356e-05	2.64197e-08	1.6319e-05	1.6379e-05
16384	3.23913e-05	1.83727e-08	3.2375e-05	3.2417e-05
32768	6.49017e-05	5.59479e-07	6.4449e-05	6.569e-05
65536	0.000131678	3.75159e-06	0.000128984	0.000136983
131072	0.000259699	6.87497e-07	0.000258822	0.000260501
262144	0.000517339	1.40975e-06	0.000515955	0.000519274
524288	0.00104027	4.52808e-06	0.00103706	0.00104667
1048576	0.00208484	4.80883e-06	0.00208141	0.00209164
2097152	0.00415756	1.19354e-06	0.00415588	0.00415854
4194304	0.00845198	3.02151e-06	0.00844795	0.00845523
8388608	0.0171327	1.564e-05	0.017113	0.0171513
16777216	0.035652	0.000985523	0.0345599	0.0369479
33554432	0.068583	3.70143e-05	0.0685351	0.0686252
67108864	0.138145	0.000206396	0.137936	0.138426
134217728	0.274924	0.000729142	0.273923	0.275639
268435456	0.550841	0.00132846	0.54953	0.552662
536870912	1.1015	0.00111118	1.10063	1.10307
1073741824	2.22757	0	2.22757	2.22757
