n	mean	stddev	min	max
2	6.488e-07	7.05654e-07	2.85e-07	2.06e-06
4	3.118e-07	5.35328e-08	2.39e-07	4.06e-07
8	3.86e-07	6.57784e-08	3.4e-07	5.15e-07
16	6.724e-07	1.71313e-07	5.27e-07	9.9e-07
32	1.2492e-06	3.23592e-07	9.32e-07	1.836e-06
64	2.4952e-06	7.548e-07	1.795e-06	3.749e-06
128	5.062e-06	1.25172e-06	3.779e-06	7.221e-06
256	1.24728e-05	2.66226e-06	9.814e-06	1.738e-05
512	2.67802e-05	2.76897e-06	2.3829e-05	3.1524e-05
1024	6.04016e-05	2.97514e-06	5.6731e-05	6.5505e-05
2048	0.000132629	4.37852e-06	0.00012773	0.000140401
4096	0.000287123	7.76387e-06	0.000281179	0.000302222
8192	0.000614236	3.16078e-06	0.00061155	0.000619438
16384	0.0013256	5.00987e-06	0.00132201	0.00133553
32768	0.00284735	5.85532e-06	0.00283897	0.00285356
65536	0.00600918	3.68122e-06	0.00600186	0.00601157
131072	0.0128468	3.80022e-05	0.0128255	0.0129227
262144	0.026926	5.61295e-06	0.0269205	0.0269367
524288	0.0565608	2.58178e-05	0.0565277	0.0565884
1048576	0.119109	0.000134616	0.118993	0.119373
2097152	0.251166	0.00107265	0.249034	0.251903
4194304	0.526121	0.000214322	0.525866	0.526463
8388608	1.10567	0	1.10567	1.10567
