n	mean	stddev	min	max
2	0.00508463	3.79946e-05	0.00505688	0.00513836
4	0.00576134	2.93601e-05	0.00574036	0.00580286
8	0.00753801	4.1518e-05	0.00750804	0.00759672
16	0.00889746	4.8404e-05	0.00883595	0.00895423
32	0.0115865	6.05803e-05	0.0115325	0.0116711
64	0.0126598	3.42268e-05	0.0126178	0.0127017
128	0.0147721	6.45687e-05	0.0146814	0.0148265
256	0.0161235	8.20637e-05	0.0160165	0.016216
512	0.0181432	0.000116922	0.0180599	0.0183086
1024	0.0211373	8.88498e-05	0.0210255	0.0212428
2048	0.0225181	6.3623e-05	0.0224663	0.0226077
4096	0.0252204	6.87844e-05	0.0251714	0.0253177
8192	0.029109	5.18581e-05	0.0290647	0.0291818
16384	0.0338581	3.27029e-05	0.0338286	0.0339037
32768	0.0392738	0.000200755	0.0390073	0.0394919
65536	0.045625	9.13711e-05	0.0455092	0.0457325
131072	0.0577658	0.000102814	0.0576857	0.057911
262144	0.0753715	5.22974e-05	0.0753219	0.0754438
524288	0.0950407	8.24638e-05	0.0949243	0.0951044
1048576	0.109443	0.000155773	0.109318	0.109663
2097152	0.114176	0.000189324	0.113963	0.114423
4194304	0.114141	4.03444e-05	0.11409	0.114189
