n	mean	stddev	min	max
2	4.47667e-07	1.30946e-07	3.18e-07	6.27e-07
4	3.68667e-07	8.28908e-08	2.98e-07	4.85e-07
8	5.28667e-07	1.51871e-07	3.42e-07	7.14e-07
16	5.29e-07	8.95023e-08	4.45e-07	6.53e-07
32	7.66e-07	1.98106e-07	5.59e-07	1.033e-06
64	1.557e-06	2.01322e-07	1.283e-06	1.761e-06
128	4.27867e-06	1.24586e-07	4.115e-06	4.417e-06
256	1.29783e-05	1.29209e-07	1.2802e-05	1.3108e-05
512	6.548e-05	2.26854e-05	4.9385e-05	9.7562e-05
1024	0.000193004	1.28989e-05	0.000182352	0.000211155
2048	0.000723186	1.19196e-05	0.000714435	0.000740039
4096	0.00290601	2.93306e-05	0.00287545	0.00294558
8192	0.0123171	0.000825422	0.0116044	0.0134741
16384	0.046769	0.000117827	0.0466189	0.0469068
32768	0.186654	0.000435019	0.18608	0.187132
65536	0.740453	0	0.740453	0.740453
