n	mean	stddev	min	max
2	1.77667e-07	4.20344e-08	1.2e-07	2.19e-07
4	1.93667e-07	4.48504e-08	1.59e-07	2.57e-07
8	1.82e-07	2.61661e-08	1.45e-07	2.01e-07
16	3.07667e-07	2.15458e-08	2.9e-07	3.38e-07
32	7.52667e-07	5.3325e-08	7.12e-07	8.28e-07
64	2.28033e-06	3.2887e-08	2.234e-06	2.307e-06
128	8.26433e-06	3.51125e-08	8.217e-06	8.301e-06
256	3.23867e-05	1.20439e-07	3.228e-05	3.2555e-05
512	0.000129068	2.09928e-06	0.000127557	0.000132037
1024	0.000516412	8.59373e-06	0.00051031	0.000528565
2048	0.00201725	1.21981e-06	0.00201566	0.00201862
4096	0.00782247	2.77742e-05	0.00778491	0.00785119
8192	0.0311736	3.6531e-05	0.0311443	0.0312251
16384	0.124228	0.000103484	0.124082	0.124303
32768	0.496736	0.000273303	0.496361	0.497004
65536	1.99358	0	1.99358	1.99358
