n	mean	stddev	min	max
2	2.44433e-06	6.28382e-07	2e-06	3.333e-06
4	2.11133e-06	1.57449e-07	2e-06	2.334e-06
8	2.66633e-06	4.71405e-10	2.666e-06	2.667e-06
16	4.333e-06	0	4.333e-06	4.333e-06
32	7.111e-06	5.66776e-07	6.333e-06	7.667e-06
64	1.2667e-05	5.44603e-07	1.2e-05	1.3334e-05
128	2.48893e-05	1.10009e-06	2.3667e-05	2.6334e-05
256	5.0889e-05	2.00632e-06	4.9e-05	5.3667e-05
512	0.000118778	1.04857e-05	0.000107334	0.000132667
1024	0.000253889	1.77749e-05	0.000240333	0.000279
2048	0.000501778	1.54063e-05	0.000480667	0.000517
4096	0.00106044	8.43397e-06	0.00105133	0.00107167
8192	0.00395533	0.00193636	0.00246367	0.00669
16384	0.00529967	0.000363286	0.00496133	0.00580367
32768	0.0121508	0.00204322	0.0105277	0.0150327
65536	0.0251578	0.00159715	0.02303	0.026878
131072	0.0481074	0.00218233	0.0463027	0.051178
262144	0.109014	0	0.109014	0.109014
