n	mean	stddev	min	max
2	0.00502866	0.000159889	0.00491268	0.00525475
4	0.00496723	9.88561e-05	0.00489256	0.00510692
8	0.00499924	0.000108196	0.00490294	0.00515037
16	0.00501218	0.000149497	0.00488846	0.00522252
32	0.00504008	0.000188797	0.00488937	0.00530631
64	0.00505359	7.37258e-05	0.00497391	0.00515167
128	0.0050865	0.000132549	0.00497902	0.00527324
256	0.00514683	0.000122435	0.00499552	0.00529539
512	0.00510331	0.000163514	0.00496578	0.00533307
1024	0.00508015	0.000144728	0.00497456	0.00528479
2048	0.00506866	0.000111067	0.00496243	0.00522198
4096	0.00508114	0.000140772	0.00494962	0.00527633
8192	0.00507683	6.0282e-05	0.00502593	0.0051615
16384	0.00504648	0.000102147	0.00494252	0.00518532
32768	0.00508188	9.41626e-05	0.00500436	0.00521441
65536	0.0050948	0.000117769	0.00497625	0.00525539
131072	0.00516406	0.000135205	0.00506701	0.00535526
262144	0.00512086	9.63181e-05	0.00504858	0.00525699
524288	0.00511897	8.39565e-05	0.00503057	0.00523181
1048576	0.00513037	7.98248e-05	0.0050665	0.00524292
2097152	0.00511054	8.49772e-05	0.00504832	0.00523069
4194304	0.0050924	0.000100045	0.00501709	0.00523378
